time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n,motor0,motor1,motor2,motor3,motor4,aileron,elevator,rudder
1748671502.9329307,0.0,0.0,-1000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.89469,8.586133951937484,-30.270899999999997,-72.26090333950583,0.8049739500000002,-16.013139820363403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671502.9380682,0.29993706764042577,-0.0003814527417308726,-1000.0002971530982,29.9937321,0.007805576319943167,-0.027518999999999995,-0.008991433249011305,7.092281497778075e-05,-0.00152375552695716,-0.8991433249011465,0.007092281497797358,-0.1523755526957201,6.125687601107636,-19.927048459214358,-32.17589609151949,98.29446243299758,-4.1271572984970515,31.009700284751624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671502.9389167,0.5999302174282646,-0.00016159150632388488,-1000.0007792534803,29.999290964844985,0.03564062803368555,-0.05457239139797604,-0.005674904974589445,-0.00021879614727238206,-0.0004448182150440516,0.33165282744217306,-0.02897189622503664,0.10789373119133158,4.541642775021062,17.974287834868434,-9.769955943736214,-86.2574300624659,26.047553383628976,-29.016170903098242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671502.9592397,0.8999627275072453,-0.0005027977789719329,-1000.0020409476666,30.003442374350897,0.01943254446975829,-0.07226373612581888,-0.013174071685123856,0.0017883314479916201,-0.001753126014023998,-0.7499166710534604,0.20071275952641382,-0.13083077989800168,4.006761517884675,-20.491686109144343,-49.046425037421514,95.1955446562724,-31.165591805763356,30.51156299288218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671502.9601915,1.2000341742769307,-0.00025495492913756994,-1000.00292497563,30.00720450361113,0.040599394374935094,-0.056484930217681875,-0.008749092775717227,0.001051909447379984,-0.0005105242100897911,0.44249789094068426,-0.07364220006114691,0.12426018039343273,3.950643771884673,17.609397048972262,-5.069925785287431,-88.62816179354476,32.56829774111294,-29.425081652671896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671502.9811058,1.5001379008679137,-0.0005867145121505933,-1000.0047181429119,30.010804850084583,0.019070986074602038,-0.08337157069600284,-0.015433636881961199,0.0031875636527187723,-0.0016980120462419812,-0.6684544106243868,0.21356542053386984,-0.11874878361521618,3.861506406602633,-20.741699167395332,-48.550964390069225,93.54481954415492,-31.212936737789224,30.227237138199698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671502.992178,1.800280083877427,-0.00033872913108364255,-1000.0061276937332,30.014470716735797,0.03640966257656047,-0.06328862861936385,-0.010398729657662642,0.0025751433406728808,-0.0003648620210334741,0.5034907224298664,-0.061242031204568725,0.13331500252085132,3.76411831128385,17.476873785969516,-4.797737502539128,-89.9218513542029,32.531448795348545,-29.67127641090372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671502.9937823,2.1004512537106246,-0.0006797273250806158,-1000.0084421541303,30.01790242277422,0.011965284888626474,-0.08621499896249718,-0.016634036042211697,0.004831967176099017,-0.0014867980323591823,-0.623530638454894,0.2256823835426292,-0.11219360113256177,3.6634541278572996,-20.818462284157945,-48.52760484067599,92.6776145760933,-31.29943386951653,30.061346545722884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671503.0120149,2.400659879938234,-0.0004457245796495453,-1000.0103710885081,30.021413983398354,0.027255152730890166,-0.06251127846863522,-0.011257556180741535,0.004332917069874931,-0.00010490844174260161,0.5376479861470096,-0.04990501062239305,0.13818895906164824,3.5460768768426014,17.472418125565884,-4.956814526152506,-90.63815681892804,32.46020500505638,-29.828939029255665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671503.0131168,2.70089387143953,-0.0008049688448433581,-1000.0132033913575,30.024644157001717,0.00131679909962968,-0.0821462001095967,-0.01724046073866603,0.006697063123506375,-0.0011932308028486105,-0.5982904557924715,0.23641460536316544,-0.10883223611062048,3.426103029045816,-20.799843426672645,-48.892870585503076,92.22862943705509,-31.412878176368967,29.959955367899397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671503.0334673,3.001163886942058,-0.0005918373134975542,-1000.0156515220906,30.027951568631934,0.015575815025300905,-0.05560374199943048,-0.011667439226143994,0.006295259389154317,0.00021271309342285605,0.557302151252222,-0.04018037343521419,0.14059438962715914,3.301498710586234,17.537869919811687,-5.458715129850567,-91.04394498762636,32.36626319698715,-29.937082069694462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671503.044645,3.3014553586718116,-0.0009732559045230339,-1000.0190038606729,30.030952488026987,-0.011008162941575967,-0.07271835772672727,-0.017504489663528133,0.008748488738767435,-0.000861247866025483,-0.5837050437384077,0.24532293496131719,-0.10739609594482774,3.15702724304343,-20.729104918505566,-49.55312834501839,92.00160790943382,-31.541505105461763,29.894378732101227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671503.0459151,3.6017810470504763,-0.0007840278724936245,-1000.0219758885922,30.034012729940056,0.002823727492380716,-0.04415809738404494,-0.011813963407474315,0.00842441469823374,0.0005534305378125381,0.5690526256053661,-0.032407404053375166,0.14146784038379973,3.036021397424136,17.64051477184957,-6.208317203294335,-91.28229191580101,32.26061376300079,-30.01630386824481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671503.0661883,3.9021240358914526,-0.0011889447989257426,-1000.0258548708204,30.03676243356552,-0.023879192899069923,-0.05955133446858166,-0.017563422084528213,0.010946105134185924,-0.0005184175121928369,-0.5749458677054058,0.25216904359524034,-0.10718480500054764,2.8643977602569137,-20.630812487866425,-50.412262140419244,91.89117363559643,-31.674650228697196,29.849438471978676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671503.0670784,4.202499136684209,-0.0010246151127682418,-1000.0293591830691,30.039542196426314,-0.010097243799363009,-0.029774539564262598,-0.011799185371736076,0.010678780651800501,0.0008949081880280652,0.5764236712792081,-0.026732448238522444,0.14133257002210553,2.7556080899776596,17.76142233562863,-7.1114028877205655,-91.4297913314347,32.15293766810574,-30.07738857719549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748671503.0873034,4.502887180903165,-0.0014530701079810684,-1000.0337745623254,30.04202506453239,-0.03657778072466576,-0.044211553445714674,-0.017493550215025078,0.013247723570388725,-0.00018309441183372854,-0.5694364843288813,0.25689429185880225,-0.10780025998617629,2.556532526897442,-20.51939478131944,-51.37855249663805,91.84082642435577,-31.803257208398332,29.817165484214318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
