time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n
0.0,0.299877321,0.0,-4999.99967519,29.9877321,0.0,0.032481,0.0,7.092281497800279e-05,0.0,0.0,0.007092281497797358,0.0,-13.49469,0.0,35.7291,0.0,0.8049739500000002,0.0
0.01,0.5996657451388827,-9.851096144082695e-05,-4999.99905496532,29.978837939682784,-0.009851096144082696,0.0641486517040715,-0.0060034238516253335,2.0969470667431267e-05,-2.8521221371313743e-05,-0.6003423851625227,-0.004995334431047235,-0.0028521221371502346,-9.78104234058718,-10.836205758490966,32.49492106160757,-49.43398707174607,-1.3719444079238614,6.702420338025545
0.02,0.8993357621851373,-0.0002952042754747028,-4999.9982516988175,29.96700056243447,-0.019300301370177665,0.0808406320097105,-0.003839066635581645,-0.0015273972212042075,0.001508444268364162,0.21643572160437152,-0.1548366691871569,0.15369654897355953,-13.024948918621122,-10.911039429117555,20.073530207306263,65.42358096526277,-16.965344107008978,17.73650833816455
0.03,1.1988940937720876,-0.0005287501515272031,-4999.9972105686165,29.955887928156688,-0.06876478550908266,0.05809500211485203,-0.002527803076895818,-0.0037631529523800555,0.003111547878713594,0.13112635586857746,-0.2235755731175832,0.16031036103492102,-12.328955454849686,-3.9393270936753697,25.973753173246195,-7.119685884724792,-7.830182151971636,2.1738038971015907
0.04,1.4983474192282784,-0.0008746852861722494,-4999.995876862824,29.945369807243964,-0.1278214033299819,0.020358942949145406,0.0031444102588877865,-0.006100786899346122,0.0058906053955727344,0.5672213335783648,-0.2337633946966011,0.27790575168592035,-11.59154707781531,-12.221443950396905,32.062602214248884,34.50423438944686,-1.1769929381729471,15.438471027090884
0.05,1.797699406549838,-0.0013229084985224382,-4999.994231632553,29.934861982310647,-0.22121279489428472,-0.01740689419815123,0.012386273692979621,-0.008472031482701814,0.009706632632532575,0.9241863434091893,-0.2371244583355756,0.38160272369596293,-11.220213023514724,-11.315663451456583,34.66149016000108,28.144926960319253,-0.4995275673502096,13.907684328792437
0.06,2.096953810015274,-0.0018559136131102274,-4999.992263874173,29.92410642169967,-0.3444451181534274,-0.05247888038214699,0.02461903027489365,-0.010803192381632742,0.014447018969812042,1.2232756581914022,-0.2331160898930929,0.4740386337279392,-10.857143612607004,-9.723122707129596,37.25312217525112,23.505562180367267,0.21022144508774415,12.591391541667859
0.07,2.396114179701985,-0.0024504541906672705,-4999.989973833495,29.91278457711074,-0.49379900813615885,-0.08201793625767896,0.03941913885461923,-0.013025450209155132,0.020017850393553527,1.4800108579725586,-0.22222578275224972,0.5570831423741638,-10.523375437215728,-7.546113714266229,39.605871430381,20.123710422370646,0.8464650188721501,11.424759560455687
0.08,2.695183835005327,-0.0030790604036531237,-4999.987374853673,29.900564205381837,-0.66607357323669,-0.10340138475516175,0.056476471775743775,-0.015075134260873257,0.026338426915485602,1.7057332921124466,-0.20496840517181977,0.6320576521932185,-10.21595926617443,-4.863771489114833,41.56041145852183,17.66205194374524,1.4134259088034375,10.362204445304634
0.09,2.994165750683114,-0.003711352673109677,-4999.984494778184,29.887102316595442,-0.8584065754856893,-0.11427412416523439,0.07556344732096743,-0.01689523480328048,0.033337310209182736,1.9086975545223621,-0.1820100542407138,0.6998883293697127,-9.94397759108255,-1.7384909252291063,42.95778463945466,15.871401314620298,1.8989324690673246,9.371566479035053
0.1,3.2930494829291614,-0.003940494034677609,-4999.981348565024,29.87205452073207,-1.0305559400948017,-0.11260021382497709,0.09633382424641312,-0.01843656229792945,0.038461615390272375,2.0770376925445726,-0.15413274946489638,0.512430518108964,-9.71510983039072,43.128936295409545,43.655761779867355,16.082920056828844,2.2934247553507054,-35.11723912979515
0.11,3.591829481491272,-0.003740429925233486,-4999.977916294733,29.85792613709168,-1.1435819004098355,-0.09771226506049316,0.11836692069102783,-0.01971262879901281,0.04169861858225987,2.203309644461478,-0.12760665010832725,0.32370031919874737,-9.541341360857578,46.62494355021397,43.47808564045657,12.658702997919407,2.5017367784514692,-34.821946684191346
0.12,3.8905009738474883,-0.0030920936448464486,-4999.974162088918,29.84549131442298,-1.1971654366260764,-0.07204577224771636,0.14132725162410376,-0.02075399769853803,0.04305593835106647,2.2960330933075985,-0.10413688995253231,0.13573197688066904,-9.46919276444541,49.74152673110568,42.427596028501654,9.903995988738911,2.566939503892558,-34.268709372964075
