time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n,motor0,motor1,motor2,motor3,motor4,aileron,elevator,rudder
0.1,3.2905325092256317,-0.0013496096684376092,-4999.984379805501,29.76406392743196,-0.40394156094814526,1.7497386115694646,-0.15192629573406058,0.06541650582468828,0.008608521624935417,-1.8907692686193462,0.9475199301577685,0.2557712020247682,-28.048595944995967,-18.665325800293683,-47.72945447936682,-0.6613297639113863,3.547376282713078,7.03033784011275,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.11,3.58841200974273,-0.001055655155666236,-4999.983587098543,29.71820592142472,-0.5310798465612888,1.968580002770375,-0.17076959240605682,0.07500217949019117,0.011577123420224655,-1.8843296671996217,0.9585673665502905,0.29686017952890503,-31.070289526141607,-19.719547744388965,-61.09558800269939,0.4037657611400845,2.127204820103826,6.622188296495628,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.12,3.8859517052748593,-0.0005657745440455826,-4999.983287171155,29.666650664036624,-0.6751260871333272,2.17624601378665,-0.1894518448671585,0.08457924310099796,0.014935944048756866,-1.868225246110178,0.957706361080684,0.33588206285319994,-34.21938004227407,-20.603202516782574,-73.91528954199053,1.253058268942022,0.8408071431017478,6.14309757709827,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.13,4.183109924306441,0.00013622666864101618,-4999.983545580848,29.609522074014095,-0.834804817966928,2.3695929307176065,-0.20789662017870936,0.09404240957447296,0.018659117048726692,-1.8444775311550956,0.9463166473474888,0.3723172999969984,-37.420807696147875,-21.314254672428778,-85.97556835472726,1.9350202770454246,-0.3007230196928735,5.606142116850434,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.14,4.4798444919658955,0.0010590856868684093,-4999.984415955882,29.54708259303183,-1.0086216756494535,2.5461188525008938,-0.22604329444530924,0.10330080008100628,0.022716626795869388,-1.8146674266599923,0.9258390506533343,0.4057509747142702,-40.59825643061629,-21.855762904376807,-97.1037402574112,2.484457645863675,-1.2904965756844835,5.022703740172343,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.15,4.776113987873781,0.002203941581954165,-4999.985939613676,29.47970952658173,-1.1949262493365624,2.7039493011319844,-0.2438438891490693,0.11227818524095667,0.027075195775821737,-1.7800594703760133,0.8977385159950343,0.43585689799522775,-43.67837271322315,-22.23474946645582,-107.16733647152391,2.926447215206645,-2.1255612246743323,4.402907661472242,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.16,5.071878927329276,0.0035645807080048643,-4999.9881456196335,29.40786838222021,-1.3919668256952782,2.8418088768372294,-0.26126079175195027,0.12091289054066379,0.03169905009809426,-1.7416902602880937,0.8634705299707145,0.4623854322272625,-46.59443970344711,-22.46125559610571,-116.07280657831342,3.279206021608824,-2.806558684785074,3.7559062217189916,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.17,5.367102799567276,0.005128008482759563,-4999.991051237097,29.33208551161046,-1.5979377994386799,2.958981397917048,-0.27826509867936333,0.12915740463268932,0.0365505889668194,-1.7004306927412989,0.8244514092025489,0.48515388687249433,-49.289280278389924,-22.547542590729055,-123.76320579001775,3.556170560755392,-3.337322435643513,3.0900547608788633,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.18,5.661752914512609,0.006875279703278842,-4999.994662710246,29.252921991524683,-1.8110202647860927,3.055261016928115,-0.2948353902601979,0.13697773268381774,0.041590975619474335,-1.657029158083461,0.7820328051128447,0.5040386652655007,-51.717268799712045,-22.50741295482238,-130.21508339986454,3.7674909555599334,-3.7244332610125412,2.413014508566964,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.19,5.9558010285522744,0.008782516388611442,-4999.998976316538,29.17095021654238,-2.0294161733879426,3.1308967840141464,-0.3109568003272667,0.14435253897671885,0.04678066159418215,-1.6121410067068933,0.7374806292901024,0.5189685974708037,-53.84542809556295,-22.355635652409962,-135.43480004500125,3.9210916835240646,-3.9767507519106196,1.7318085199858626,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.2,6.249223738373206,0.010822043120034,-5000.0039796238225,29.086734183228902,-2.2513764110662837,3.186533026226947,-0.32662028272706256,0.15127212347730778,0.052079852424147255,-1.5663482399795934,0.6919584500588862,0.5299190829965252,-55.653667692074194,-22.10746509167415,-139.45449615474237,4.023411959331536,-4.104938645342207,1.0528497381435595,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
0.21,6.542002648342366,0.012963574266463145,-5000.009652889043,29.000813972859643,-2.4752231756799623,3.22314773296587,-0.3418220063797377,0.1577372761085487,0.0574489204633446,-1.5201723652675019,0.6465152631240855,0.5369068039197451,-57.13427785784603,-21.778246141961183,-142.32791484784767,4.079910733336341,-4.121000443686993,0.3819547553076117,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.7
